de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG24.PA7,13_forest_forests_wood_timber,0.8230192493590729,13,0,0.0,forest,forests,wood,timber,forestry,logging,deforestation,asia,management,production
de13c224728ec0b063722ff9c929483db2c1caa0d11d9a202ccdb396c11860cb.PG24.PA13,18_indigenous_knowledge_local_peoples,1.0,18,0,0.0,indigenous,knowledge,local,peoples,traditional,ilk,cultural,communities,sacred,nature
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG13.PA4,10_scenarios_decision_policy_scenario,0.6740469476790494,10,0,0.0,scenarios,decision,policy,scenario,models,futures,exploratory,making,archetypes,options
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG20.PA6,4_fisheries_fishing_aquaculture_marine,1.0,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG20.PA16,3_water_groundwater_resources_irrigation,0.6413502400118202,3,0,0.0,water,groundwater,resources,irrigation,river,management,supply,freshwater,basin,hydropower
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG21.PA4,4_fisheries_fishing_aquaculture_marine,1.0,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG25.PA1,4_fisheries_fishing_aquaculture_marine,1.0,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG25.PA5,14_wildlife_disease_trade_diseases,0.28400748977563256,14,0,0.0,wildlife,disease,trade,diseases,animal,animals,zoonosis,pathogens,infectious,human
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG25.PA11,4_fisheries_fishing_aquaculture_marine,1.0,4,0,0.0,fisheries,fishing,aquaculture,marine,fish,fishers,management,stocks,fishery,coastal
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG28.PA13,10_scenarios_decision_policy_scenario,0.8807123851555746,10,0,0.0,scenarios,decision,policy,scenario,models,futures,exploratory,making,archetypes,options
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG30.PA1,93_coral_reefs_reef_bleaching,0.5504684525308632,93,0,0.0,coral,reefs,reef,bleaching,corals,caribbean,coastal,marine,acidification,ecosystems
87e000d4892891ac6592c38b8751ddb706d59a980b2e3e12258eda66f4b0a7cc.PG32.PA3,13_forest_forests_wood_timber,0.8232107949819053,13,0,0.0,forest,forests,wood,timber,forestry,logging,deforestation,asia,management,production
